Drug	Condition	DrugCUI	ConditionCUI
PERAMIVIR	Influenza, Human	C1675326	
OSELTAMIVIR	Influenza, Human	C0874161	
CLOTIAZEPAM	Sleep Initiation and Maintenance Disorders	C0009073	C0021603
FLUNITRAZEPAM	Sleep Initiation and Maintenance Disorders	C0016296	C0021603
NITRAZEPAM	Sleep Initiation and Maintenance Disorders	C0028126	C0021603
ZOPICLONE	Sleep Initiation and Maintenance Disorders	C0078847	C0021603
CILOSTAZOL	Intermittent Claudication	C0055729	C0021775
FENBENDAZOLE	Intestinal Diseases, Parasitic	C0015821	C0021832
CASPOFUNGIN	Abdominal Abscess	C0537894	C0243001
CEFTRIAXONE	Intraabdominal Infections	C0007561	C1112209
CEFOTETAN	Intraabdominal Infections	C0007555	C1112209
PAZUFLOXACIN	Intraabdominal Infections	C0175022	C1112209
DORIPENEM	Intraabdominal Infections	C0389169	C1112209
ISAVUCONAZOLE	Invasive Pulmonary Aspergillosis	C1832021	C0276653
DEFERIPRONE	Iron Overload	C0043832	C0282193
FERROCHOLINATE	Iron, Dietary	C0301500	
LINACLOTIDE	Irritable Bowel Syndrome	C2000261	C0022104
ALOSETRON	Irritable Bowel Syndrome	C0291772	C0022104
ELUXADOLINE	Irritable Bowel Syndrome	C3712232	C0022104
DICYCLOMINE	Irritable Bowel Syndrome	C0012125	C0022104
CIMETROPIUM	Irritable Bowel Syndrome	C0141757	C0022104
LEUPROLIDE	Leiomyoma	C0085272	
RUFINAMIDE	Lennox Gastaut Syndrome	C0213404	
THALIDOMIDE	Leprosy, Lepromatous	C0039736	C0023348
CLOFAZIMINE	Leprosy, Lepromatous	C0008996	C0023348
RN-1	Leukemia		C0023418
NIMUSTINE	Leukemia	C0028096	C0023418
AZ-960	Leukemia-Lymphoma, Adult T-Cell		
PENTOSTATIN	Leukemia, Hairy Cell	C0030896	
CLADRIBINE	Leukemia, Hairy Cell	C0092801	
IDELALISIB	Leukemia, Lymphocytic, Chronic, B-Cell	C2698692	
CHLORAMBUCIL	Leukemia, Lymphocytic, Chronic, B-Cell	C0008163	
FLUDARABINE	Leukemia, Lymphocytic, Chronic, B-Cell	C0059985	
VENETOCLAX	Leukemia, Lymphocytic, Chronic, B-Cell	C4079830	
VINCRISTINE	Leukemia, Lymphoid	C0042679	
BOSUTINIB	Leukemia, Myelogenous, Chronic, BCR-ABL Positive	C1831731	
BUSULFAN	Leukemia, Myelogenous, Chronic, BCR-ABL Positive	C0006463	
DASATINIB	Leukemia, Myelogenous, Chronic, BCR-ABL Positive	C1455147	
NILOTINIB	Leukemia, Myelogenous, Chronic, BCR-ABL Positive	C1721377	
TIAZOFURIN	Leukemia, Myeloid	C0076656	
THIOGUANINE	Leukemia, Myeloid, Acute	C0039902	
ENOCITABINE	Leukemia, Myeloid, Acute	C0059364	
ROMURTIDE	Leukopenia	C0067246	C0023530
TEFLUBENZURON	Lice Infestations	C0285512	C0030756
LUSUTROMBOPAG	Liver Diseases	C4309207	C0023895
PROTOPORPHYRIN	Liver Diseases		C0023895
LOXOPROFEN	Low Back Pain	C0065199	C0024031
HYDROXYCHLOROQUINE	Lupus Erythematosus, Systemic	C0020336	C0024141
NSC-350625	Lymphoma, Non-Hodgkin		C0024305
TRANYLCYPROMINE	Depressive Disorder, Major	C0040778	
TRAZODONE	Depressive Disorder, Major	C0040805	
MEFLOQUINE	Malaria	C0025153	C0024530
ARTEMETHER	Malaria	C0052429	C0024530
ARTEMISININ	Malaria, Falciparum		C0024535
QUININE	Malaria, Falciparum	C0034417	C0024535
CEFQUINOME	Mastitis, Bovine	C0108939	C0024895
EPIHETACILLIN	Mastitis, Bovine		C0024895
MASITINIB	Mastocytoma	C2351398	C0024897
DABRAFENIB	Melanoma	C3467876	C0025202
VEMURAFENIB	Melanoma	C3192263	C0025202
CYTARABINE	Meningitis	C0010711	C0025289
CEFTIZOXIME	Meningitis, Haemophilus	C0007560	C0025292
TIBOLONE	Menopause	C0076660	C0025320
NORETHYNODREL	Menstrual Cycle	C0028360	C0025329
CLOTHIAPINE	Mental Disorders	C0009071	C0004936
UNITHIOL	Mercury Poisoning	C0041738	C0025427
ARBEKACIN	Methicillin-Resistant Staphylococcus aureus	C4082272	C1265292
ALMOTRIPTAN	Migraine Disorders	C0914729	C0149931
SUMATRIPTAN	Migraine without Aura	C0075632	
FROVATRIPTAN	Migraine without Aura	C0754647	
ZOLMITRIPTAN	Migraine without Aura	C0528166	
SULBACTAM	Moraxella (Branhamella) catarrhalis	C0038665	C0006132
BUCLIZINE	Motion Sickness	C0164386	C0026603
FLUNARIZINE	Motion Sickness	C0016295	C0026603
CINNARIZINE	Motion Sickness	C0008803	C0026603
PHENIRAMINE	Motion Sickness	C0031408	C0026603
MECLIZINE	Motion Sickness	C0025039	C0026603
MAROPITANT	Motion Sickness	C1871004	C0026603
TRIHEXYPHENIDYL	Movement Disorders	C0041009	C0026650
BENZTROPINE	Movement Disorders	C0005098	C0026650
CPI203	Multiple Myeloma	C4043595	C0026764
CARMUSTINE	Multiple Myeloma	C0007257	C0026764
IXAZOMIB	Multiple Myeloma	C3273711	C0026764
LENALIDOMIDE	Multiple Myeloma	C1144149	C0026764
MELPHALAN	Multiple Myeloma	C0025241	C0026764
POMALIDOMIDE	Multiple Myeloma	C2347624	C0026764
PANOBINOSTAT	Multiple Myeloma	C1998098	C0026764
LAQUINIMOD	Multiple Sclerosis, Relapsing-Remitting	C1260208	C0751967
TRIETHYLGALLAMINE	Muscle Contraction		C0026820
ATRACURIUM	Muscle Relaxation	C0004234	
CISATRACURIUM	Muscle Relaxation	C1096766	
TIMEPIDIUM	Spasm	C1620337	C0037763
PRIDINOL	Spasm	C0071968	C0037763
TIZANIDINE	Muscle Spasticity	C0146011	C0026838
CARISOPRODOL	Muscular Diseases	C0007248	
MIVACURIUM	Musculoskeletal Manipulations	C0066621	C0949741
ORPHENADRINE	Musculoskeletal Pain	C0029309	C0026858
AMBENONIUM	Myasthenia Gravis	C0002412	C0026896
VIOMYCIN	Mycobacterium tuberculosis	C0042697	C0026926
STREPTOMYCIN	Mycobacterium tuberculosis	C0038425	C0026926
GRISEOFULVIN	Mycoses	C0018242	C0026946
CLOTRIMAZOLE	Mycoses	C0009074	C0026946
BIFONAZOLE	Mycoses	C0053570	C0026946
DAPIPRAZOLE	Mydriasis	C0057143	C0026961
VATALANIB	Myelodysplastic Syndromes	C0912586	
DECITABINE	Myelodysplastic Syndromes	C0049065	
AZACITIDINE	Myelodysplastic Syndromes	C0004475	
RAMIPRIL	Myocardial Infarction	C0072973	C0027051
LEVETIRACETAM	Myoclonic Epilepsy, Juvenile	C0377265	C0270853
MODAFINIL	Narcolepsy	C0066677	C0027404
TETRAHYDROZOLINE	Nasal Obstruction	C0076286	
INDISETRON	Nausea	C2825324	C0027497
NABILONE	Nausea	C0068333	C0027497
EPERISONE	Neck Pain	C0043606	C0007859
GNE-493	Neoplasms		C0027651
PCI-34051	Neoplasms		C0027651
OMIPALISIB	Neoplasms		C0027651
CYSTEAMINE	Cystinosis	C0010648	
ISOMETHEPTENE	Neuralgia	C0064007	C0027796
CAPSAICIN	Neuralgia, Postherpetic	C0006931	
FABOMOTIZOLE	Neurasthenia	C3871450	C0027804
I-BET726	Neuroblastoma	C3886774	C0027819
METHANTHELINE	Urinary Bladder, Neurogenic	C0025624	
PIXANTRONE	Lymphoma, Non-Hodgkin	C0253355	C0024305
PLERIXAFOR	Lymphoma, Non-Hodgkin	C1955474	C0024305
AMRUBICIN	Carcinoma, Non-Small-Cell Lung	C0762659	
OXYMETAZOLINE	Nose Diseases	C0030071	C0028432
METHAMPHETAMINE	Obesity	C0025611	C0028754
RIMONABANT	Obesity	C1142933	C0028754
DIRLOTAPIDE	Obesity	C1958588	C0028754
PAROXETINE	Obsessive-Compulsive Disorder	C0070122	C0028768
CAMYLOFIN	Obstetric Labor Complications		C0022865
DINOPROST	Obstetric Labor Complications	C0012471	C0022865
METIPRANOLOL	Ocular Hypertension	C0041030	C0028840
TIMOLOL	Ocular Hypertension	C0040233	C0028840
OXYTETRACYCLINE	Eye Infections	C0030092	C0015403
CICLOPIROX	Onychomycosis	C0055711	C0040261
TERBINAFINE	Onychomycosis	C0076110	C0040261
BUPRENORPHINE	Opioid-Related Disorders	C0006405	C0027412
NALORPHINE	Opioid-Related Disorders	C0027355	C0027412
NAPROXEN	Osteoarthritis	C0027396	
FIROCOXIB	Osteoarthritis	C1453102	
FENOPROFEN	Osteoarthritis	C0015837	
CARPROFEN	Osteoarthritis	C0054827	
GRAPIPRANT	Osteoarthritis	C4278621	
ESFLURBIPROFEN	Osteoarthritis	C2825249	
OXANDROLONE	Osteoporosis	C0029995	C0029456
FINAFLOXACIN	Otitis Externa	C2825286	C0029878
CEFACLOR	Otitis Media	C0007537	C0029882
SULFISOXAZOLE	Otitis Media	C0038745	C0029882
AZITHROMYCIN	Otitis Media	C0052796	C0029882
CEFMENOXIME	Otitis Media	C0007549	C0029882
CARBOPLATIN	Ovarian Neoplasms	C0079083	
SU11274	Ovarian Neoplasms		
PACLITAXEL	Ovarian Neoplasms	C0144576	
OLAPARIB	Ovarian Neoplasms	C2316164	
ALTRETAMINE	Ovarian Neoplasms	C0019453	
TOLTERODINE	Urinary Bladder, Overactive	C0388753	
CYM 5442 HYDROCHLORIDE	Pain		C0030193
PROPOFOL	Pain	C0033487	C0030193
HALOTHANE	Pain	C0018549	C0030193
PROPANIDID	Pain	C0033439	C0030193
LEVOMENTHOL	Pain	C0771655	C0030193
TILETAMINE	Pain	C0040217	C0030193
KETOROLAC	Pain	C0073631	C0030193
SALCOLEX	Pain		C0030193
EPTAZOCINE	Pain	C0059489	C0030193
FLOCTAFENINE	Pain	C0016245	C0030193
METHADONE	Pain	C0025605	C0030193
BUPIVACAINE	Pain	C0006400	C0030193
ISOFLURANE	Pain	C0022180	C0030193
OXYCODONE	Pain	C0030049	C0030193
PROCAINE	Pain	C0033218	C0030193
ETIDOCAINE	Pain	C0015120	C0030193
BUTORPHANOL	Pain	C0006491	C0030193
ENFLURANE	Pain	C0014277	C0030193
ARTICAINE	Pain	C1608295	C0030193
LEVORPHANOL	Pain	C0023586	C0030193
PROPOXYPHENE	Pain	C0033493	C0030193
METHOHEXITAL	Pain	C0025668	C0030193
AMFENAC	Pain	C0051572	C0030193
PROPARACAINE	Pain	C0072510	C0030193
ALFENTANIL	Pain	C0002026	C0030193
MORPHINE	Pain	C0026549	C0030193
PENTAZOCINE	Pain	C0030873	C0030193
KETAMINE	Pain	C0022614	C0030193
REMIFENTANIL	Pain	C0246631	C0030193
DYCLONINE	Pain	C0058831	C0030193
NALBUPHINE	Pain	C0027348	C0030193
HYDROMORPHONE	Pain	C0012306	C0030193
ETOMIDATE	Pain	C0015131	C0030193
SUFENTANIL	Pain	C0143993	C0030193
TRAMADOL	Somatoform Disorders	C0040610	
HEXOBARBITAL	Somatoform Disorders	C0019469	
PARECOXIB	Pain, Postoperative	C0915142	C0030201
ERLOTINIB	Pancreatic Neoplasms	C1135135	
GABEXATE	Pancreatitis	C0085231	C0030305
NAFAMOSTAT	Pancreatitis	C0207683	C0030305
MOPERONE	Paranoid Disorders	C0066787	
PERICIAZINE	Paranoid Disorders	C0033459	
TRICLABENDAZOLE	Parasitic Diseases	C0077071	C0030499
TOLCAPONE	Parkinson Disease	C0246330	C0030567
ROTIGOTINE	Parkinson Disease	C1700683	C0030567
ISTRADEFYLLINE	Parkinson Disease	C0673470	C0030567
AMANTADINE	Parkinson Disease	C0002403	C0030567
PIMAVANSERIN	Parkinson Disease	C1722267	C0030567
APOMORPHINE	Parkinson Disease	C0003596	C0030567
BIPERIDEN	Parkinson Disease, Postencephalitic	C0005578	C0030568
PIROHEPTINE	Parkinson Disease	C0071147	C0030567
BUDIPINE	Parkinson Disease	C0054202	C0030567
RIVASTIGMINE	Parkinson Disease	C0649350	C0030567
SELEGILINE	Parkinson Disease	C0036579	C0030567
TIAGABINE	Epilepsies, Partial	C0068897	C0014547
OXYPHENCYCLIMINE	Peptic Ulcer	C0069833	C0030920
EGUALEN	Peptic Ulcer	C2348385	C0030920
SOFALCONE	Peptic Ulcer	C0142971	C0030920
HEXOCYCLIUM	Peptic Ulcer	C0062674	C0030920
GLYCOPYRROLATE	Peptic Ulcer	C0017970	C0030920
DIPHEMANIL	Peptic Ulcer	C0301371	C0030920
ZALTOPROFEN	Periarthritis	C2930434	C0031037
SARPOGRELATE	Peripheral Arterial Disease	C0286592	
PRALATREXATE	Lymphoma, T-Cell, Peripheral	C1721300	
CHIDAMIDE	Lymphoma, T-Cell, Peripheral		
BAMETHAN	Peripheral Vascular Diseases	C0004718	C0085096
IFENPRODIL	Peripheral Vascular Diseases	C0063340	C0085096
DIPHENIDOL	Vertigo	C0058371	C0042571
CEFTEZOLE	Peritonitis	C0055013	C0031154
CYANOCOBALAMIN	Anemia, Pernicious		C0002892
FENSPIRIDE	Pharyngitis	C0015843	C0031350
CEFIXIME	Pharyngitis	C0060400	C0031350
METYROSINE	Pheochromocytoma	C0886584	C0031511
VENLAFAXINE	Phobic Disorders	C0078569	
ARBUTIN	Pigmentation Disorders	C0003729	C0549567
PAROXYPROPIONE	Pituitary Diseases	C0521965	C0032002
ARTEMOTIL	Malaria, Falciparum	C0052427	C0024535
ASTROMICIN	Pneumonia		C0032285
LEVOFLOXACIN	Pneumonia	C0282386	C0032285
NETILMICIN	Pneumonia	C0027780	C0032285
ASPOXICILLIN	Pneumonia	C0104449	C0032285
TIAMULIN	Pneumonia	C0076651	C0032285
EPRAZINONE	Pneumonia	C0059469	C0032285
CEFDITOREN	Pneumonia, Bacterial	C0287573	C0004626
LINEZOLID	Pneumonia, Ventilator-Associated	C0663241	C1701940
RANIMUSTINE	Polycythemia Vera	C0243666	C0032463
RUXOLITINIB	Polycythemia Vera	C2931926	C0032463
NORGESTIMATE	Postmenopause	C0068992	C0206159
ALVIMOPAN	Postoperative Complications	C1508750	C0032787
ERGONOVINE	Postoperative Hemorrhage	C0014704	C0032788
DOLASETRON	Postoperative Nausea and Vomiting	C0209210	C0520909
APREPITANT	Postoperative Nausea and Vomiting	C1176306	C0520909
ROBENACOXIB	Pain, Postoperative	C2825257	C0030201
CLOFARABINE	Precursor Cell Lymphoblastic Leukemia-Lymphoma	C0092777	
PONATINIB	Precursor Cell Lymphoblastic Leukemia-Lymphoma	C2987417	
NELARABINE	Precursor T-Cell Lymphoblastic Leukemia-Lymphoma	C0907349	C1961099
FENPROSTALENE	Pregnancy	C0060195	C0032961
NOMEGESTROL	Pregnancy	C0068922	C0032961
PROSTALENE	Pregnancy	C0072302	C0032961
ALFAPROSTOL	Pregnancy	C0051147	C0032961
DIENOGEST	Pregnancy	C0057916	C0032961
ETONOGESTREL	Pregnancy	C0047683	C0032961
CHLORMADINONE	Pregnancy	C0262965	C0032961
ALLYLESTRENOL	Pregnancy Complications	C0002158	C0032962
MIFEPRISTONE	Pregnancy, Unwanted	C0026088	
RITODRINE	Obstetric Labor, Premature	C0035661	
ESTRADIOL	Primary Ovarian Insufficiency	C0014912	
TERAZOSIN	Prostatic Hyperplasia	C0076107	C2937421
SILODOSIN	Prostatic Hyperplasia	C1870115	C2937421
FINASTERIDE	Prostatic Hyperplasia	C0060389	C2937421
AZD5363	Prostatic Neoplasms	C3502775	C0033578
ESTRAMUSTINE	Prostatic Neoplasms	C0014921	C0033578
GOSERELIN	Prostatic Neoplasms	C0120107	C0033578
FLUTAMIDE	Prostatic Neoplasms	C0016384	C0033578
ABARELIX	Prostatic Neoplasms	C0965390	C0033578
BICALUTAMIDE	Prostatic Neoplasms	C0285590	C0033578
ENZALUTAMIDE	Prostatic Neoplasms, Castration-Resistant	C3496793	C3658267
CARBENICILLIN	Prostatitis	C0006976	C0033581
NALFURAFINE	Pruritus	C2825264	C0033774
ACITRETIN	Psoriasis	C0050559	C0033860
CALCIPOTRIENE	Psoriasis	C0065767	C0033860
METHOXSALEN	Psoriasis	C0025684	C0033860
ETRETINATE	Psoriasis	C0015137	C0033860
PROMAZINE	Psychomotor Agitation	C0033399	C3887612
MESORIDAZINE	Psychotic Disorders	C0025497	C0033975
VILANTEROL	Pulmonary Disease, Chronic Obstructive	C2935023	
TIOTROPIUM	Pulmonary Disease, Chronic Obstructive	C0213771	
CILOMILAST	Pulmonary Disease, Chronic Obstructive	C0968887	
IPRATROPIUM	Pulmonary Disease, Chronic Obstructive	C0027235	
OLODATEROL	Pulmonary Disease, Chronic Obstructive	C2934193	
ERDOSTEINE	Pulmonary Disease, Chronic Obstructive	C0059506	
AMBROXOL	Pulmonary Disease, Chronic Obstructive	C0002421	
BOSENTAN	Hypertension, Pulmonary	C0252643	
EPOPROSTENOL	Familial Primary Pulmonary Hypertension	C0033567	C0340543
FLUCYTOSINE	Pulmonary Infarction	C0016278	C0034074
CEFTOLOZANE	Pyelonephritis	C3852726	C0034186
SUNITINIB	Carcinoma, Renal Cell	C1176020	
GLUCARPIDASE	Renal Insufficiency	C0007072	C1565489
CEFSULODIN	Reproductive Tract Infections	C0007558	
DOXAPRAM	Respiration Disorders	C0013084	C0035204
DIMORPHOLAMINE	Respiratory Insufficiency	C0058284	C0035229
BROMHEXINE	Respiratory Tract Diseases	C0006220	C0035242
PROTOKYLOL	Respiratory Tract Diseases	C0163026	C0035242
MINOCYCLINE	Respiratory Tract Infections	C0026187	C0035243
CEFMETAZOLE	Respiratory Tract Infections	C0007550	C0035243
TROLEANDOMYCIN	Respiratory Tract Infections	C0041165	C0035243
PIDOTIMOD	Respiratory Tract Infections	C0081002	C0035243
CARBOMYCIN	Respiratory Tract Infections	C0054700	C0035243
DANOFLOXACIN	Respiratory Tract Infections	C0112317	C0035243
FLUCLOXACILLIN	Respiratory Tract Infections		C0035243
PRAMIPEXOLE	Restless Legs Syndrome	C0074710	C0035258
DACTINOMYCIN	Rhabdomyosarcoma	C0010934	C0035412
CORTISONE	Rheumatic Diseases	C0010137	
PHENOCOLL	Rheumatic Diseases		
ETORICOXIB	Arthritis, Rheumatoid	C0972314	
FRENTIZOLE	Arthritis, Rheumatoid	C0060754	
AUROTHIOGLUCOSE	Arthritis, Rheumatoid	C0018033	
DICLOFENAC	Arthritis, Rheumatoid	C0012091	
TENIDAP	Arthritis, Rheumatoid	C0076092	
TRAMAZOLINE	Rhinitis	C0076890	C0035455
TRANILAST	Rhinitis, Allergic	C0146337	
CLEMIZOLE	Rhinitis, Allergic	C0008931	
RAMATROBAN	Rhinitis, Allergic	C0753318	
AZELASTINE	Rhinitis, Allergic, Perennial	C0052762	C0035457
CICLESONIDE	Rhinitis, Allergic, Perennial	C0907850	C0035457
MONTELUKAST	Rhinitis, Allergic, Perennial	C0298130	C0035457
DESLORATADINE	Rhinitis, Allergic, Seasonal	C0908935	
LEVOCETIRIZINE	Rhinitis, Allergic, Seasonal	C1174893	
ACRIVASTINE	Rhinitis, Allergic, Seasonal	C0054340	
ERGOCALCIFEROL	Rickets	C0014695	C0035579
ALFACALCIDOL	Rickets	C0044410	C0035579
DEXAMETHASONE	Rosacea	C0011777	C0035854
LOTEPREDNOL	Rosacea	C0772364	C0035854
DOXORUBICIN	Sarcoma, Kaposi	C0013089	
PERMETHRIN	Scabies	C0070455	
HALOBETASOL	Scalp Dermatoses	C0082787	C0036271
OXAMNIQUINE	Schistosoma mansoni	C0029994	C0036319
STIBOPHEN	Schistosomiasis	C0038326	C0036323
THIOPROPERAZINE	Psychotic Disorders	C0039936	C0033975
FLUPENTIXOL	Schizophrenia		C0036341
BLONANSERIN	Schizophrenia	C0287983	C0036341
LENPERONE	Schizophrenia	C0064748	C0036341
SETIPTILINE	Schizophrenia	C0069628	C0036341
ZIPRASIDONE	Schizophrenia	C0380393	C0036341
ZOTEPINE	Schizophrenia	C0078849	C0036341
PENFLURIDOL	Schizophrenia	C0030815	C0036341
FLUPHENAZINE	Schizophrenia	C0016368	C0036341
PERAZINE	Schizophrenia	C0030969	C0036341
THIOTHIXENE	Schizophrenia	C0039955	C0036341
HALOPERIDOL	Schizophrenia	C0018546	C0036341
TIMIPERONE	Schizophrenia	C0076688	C0036341
AMISULPRIDE	Schizophrenia	C0103045	C0036341
BREXPIPRAZOLE	Schizophrenia	C3885614	C0036341
BENPERIDOL	Schizophrenia	C0005013	C0036341
ASENAPINE	Schizophrenia	C2000088	C0036341
CARBINOXAMINE	Rhinitis, Allergic, Seasonal	C0054672	
CALCIFEDIOL	Hyperparathyroidism, Secondary	C0006657	C0020503
EZOGABINE	Seizures	C0530684	C0036572
DIAZEPAM	Seizures	C0012010	C0036572
PHENYTOIN	Seizures	C0031507	C0036572
OXCARBAZEPINE	Seizures	C0069751	C0036572
CEFAZOLIN	Sepsis	C0007546	C0243026
METARAMINOL	Shock	C0025575	C0036974
BYK 191023 DIHYDROCHLORIDE	Shock, Septic		
TEDUGLUTIDE	Short Bowel Syndrome	C1530889	C0036992
TELITHROMYCIN	Sinusitis	C0907410	C0037199
PILOCARPINE	Sjogren's Syndrome	C0031923	C1527336
CEVIMELINE	Sjogren's Syndrome	C0093437	C1527336
PEPLOMYCIN	Skin Neoplasms	C0135981	C0037286
HALCINONIDE	Skin Diseases	C0018513	
MOMETASONE	Skin Diseases	C0360564	
DIFLUCORTOLONE	Skin Diseases	C0012227	
PREDNICARBATE	Skin Diseases	C0071836	
CEFOPERAZONE	Skin Diseases, Bacterial	C0007552	C0162627
PHENETICILLIN	Skin Diseases, Bacterial		C0162627
CEFEPIME	Skin Diseases, Bacterial	C0055003	C0162627
FLUMETHASONE	Skin Diseases, Eczematous	C0016294	C0162817
TROVAFLOXACIN	Skin Diseases, Infectious	C0379881	C0037278
ORITAVANCIN	Skin Diseases, Infectious	C1144403	C0037278
MUPIROCIN	Skin Diseases, Infectious	C0085259	C0037278
QUINUPRISTIN	Skin Diseases, Infectious	C0756081	C0037278
LORMETAZEPAM	Sleep Deprivation	C0065185	C0037316
ARMODAFINIL	Sleep Wake Disorders	C1701455	C4042891
NIMETAZEPAM	Sleep Disorders, Intrinsic	C0068774	C0752287
PERLAPINE	Sleep Disorders, Intrinsic	C0070450	C0752287
BUTOCTAMIDE	Sleep Disorders, Intrinsic	C0054260	C0752287
CLOXAZOLAM	Sleep Disorders, Intrinsic	C0055964	C0752287
PHENAZEPAM	Sleep Disorders, Intrinsic	C0070543	C0752287
RAMELTEON	Sleep Disorders, Intrinsic	C1565316	C0752287
SECOBARBITAL	Sleep Initiation and Maintenance Disorders	C0036516	C0021603
ESZOPICLONE	Sleep Initiation and Maintenance Disorders	C1436328	C0021603
GLUTETHIMIDE	Sleep Initiation and Maintenance Disorders	C0017845	C0021603
ZALEPLON	Sleep Initiation and Maintenance Disorders	C0251504	C0021603
QUAZEPAM	Sleep Initiation and Maintenance Disorders	C0072828	C0021603
BUTABARBITAL	Sleep Initiation and Maintenance Disorders	C0006464	C0021603
VARENICLINE	Smoking	C1569608	C0037369
MARBOFLOXACIN	Soft Tissue Infections	C0214439	C0149778
ORBIFLOXACIN	Soft Tissue Infections	C0300903	C0149778
CLIDINIUM	Spasm	C0055877	C0037763
BEVONIUM	Spasm	C0053533	C0037763
MEPHENESIN	Spasm	C0025379	C0037763
IBAFLOXACIN	Staphylococcal Infections	C0098834	C0038160
NORVANCOMYCIN	Staphylococcal Infections	C1722686	C0038160
OXACILLIN	Staphylococcal Infections	C0029983	C0038160
SULTAMICILLIN	Staphylococcal Skin Infections	C0075629	C0038166
DAPTOMYCIN	Staphylococcal Skin Infections	C0057144	C0038166
TIGECYCLINE	Staphylococcal Skin Infections	C1260298	C0038166
CHOLIC ACID	Steroid Metabolism, Inborn Errors	C0055568	C1257809
GIMERACIL	Stomach Neoplasms	C0535459	C0038356
TETRAPRENYLACETONE	Stomach Ulcer		
CETRAXATE	Stomach Ulcer	C0055150	
LINCOMYCIN	Streptococcal Infections	C0023726	C0038395
TICLOPIDINE	Stroke	C0040207	
NIMODIPINE	Subarachnoid Hemorrhage	C0028094	C0038525
INDECAINIDE	Tachycardia	C0063455	C0039231
ADENOSINE	Tachycardia, Paroxysmal	C0001443	C0039236
PIRMENOL	Tachycardia, Ventricular	C0071144	C0042514
SOTALOL	Tachycardia, Ventricular	C0037707	C0042514
ETOPOSIDE	Testicular Neoplasms	C0015133	C0039590
IFOSFAMIDE	Testicular Neoplasms	C0020823	C0039590
PLICAMYCIN	Testicular Neoplasms	C0026234	C0039590
VINBLASTINE	Testicular Neoplasms	C0042670	C0039590
ARGATROBAN	Thrombocytopenia	C0048470	C0040034
WARFARIN	Thromboembolism	C0043031	C0040038
DIPYRIDAMOLE	Thromboembolism	C0012582	C0040038
PHENPROCOUMON	Thromboembolism	C0031444	C0040038
KEBUZONE	Thrombophlebitis	C0064324	C0040046
MILCICLIB	Thymoma		C0040100
CABOZANTINIB	Thyroid Neoplasms	C3181682	
VANDETANIB	Thyroid Neoplasms	C1628324	
ECONAZOLE	Tinea Pedis	C0013547	C0040259
NAFTIFINE	Tinea Pedis	C0068367	C0040259
SERTACONAZOLE	Tinea Pedis	C0074391	C0040259
BUTENAFINE	Tinea Versicolor	C0107497	C0040262
CEFPODOXIME	Tonsillitis	C0055011	C0040425
CEFTIBUTEN	Tonsillitis	C0055014	C0040425
EUGENOL	Toothache	C0015153	C0040460
PIMOZIDE	Tourette Syndrome	C0031935	
PYRIMETHAMINE	Toxoplasmosis	C0034283	C0040558
OXANTEL	Trichuriasis	C0069734	
ISONIAZID	Tuberculosis	C0022209	C0041296
PASINIAZID	Tuberculosis	C4040461	C0041296
CYCLOSERINE	Tuberculosis	C0010590	C0041296
DELAMANID	Tuberculosis, Multidrug-Resistant	C3489682	C0206526
CAPREOMYCIN	Tuberculosis, Pulmonary	C0262964	C0041327
RIFAPENTINE	Tuberculosis, Pulmonary	C0073372	C0041327
ETHAMBUTOL	Tuberculosis, Pulmonary	C0014964	C0041327
DAPAGLIFLOZIN	Diabetes Mellitus, Type 2	C2353951	
PIOGLITAZONE	Diabetes Mellitus, Type 2	C0071097	
NITISINONE	Tyrosinemias	C0173083	C0268483
BALSALAZIDE	Colitis, Ulcerative	C0052940	
OLSALAZINE	Colitis, Ulcerative	C0069454	
DIMETHINDENE	Respiratory Tract Infections	C0012390	C0035243
VALRUBICIN	Urinary Bladder Neoplasms	C0068314	
OXYBUTYNIN	Urinary Bladder, Neurogenic	C0069805	
FESOTERODINE	Urinary Bladder, Overactive	C2343853	
SOLIFENACIN	Urinary Bladder, Overactive	C1099677	
DARIFENACIN	Urinary Bladder, Overactive	C0529351	
MIRABEGRON	Urinary Bladder, Overactive	C2983812	
TROSPIUM	Urinary Bladder, Overactive	C0772089	
TERODILINE	Urinary Incontinence	C0076126	C0042024
CEFORANIDE	Urinary Tract Infections	C0055008	
BACAMPICILLIN	Urinary Tract Infections	C0052865	
CEFTAZIDIME	Urinary Tract Infections	C0007559	
ERTAPENEM	Urinary Tract Infections	C1120106	
BALOFLOXACIN	Urinary Tract Infections	C0173239	
NITROFURANTOIN	Urinary Tract Infections	C0028156	
CLEMASTINE	Urticaria	C0008929	C0042109
EBASTINE	Urticaria	C0058895	C0042109
TRIPELENNAMINE	Urticaria	C0041090	C0042109
PIRARUBICIN	Uterine Neoplasms	C0071126	C0042138
SPECTINOMYCIN	Uterine Cervicitis	C0001268	C0007860
OXYTOCIN	Uterine Hemorrhage	C0030095	C0042134
CARBETOCIN	Uterine Inertia	C0054670	C0042135
RIMEXOLONE	Uveitis, Anterior	C0140594	
CANDICIDIN	Vaginitis	C0006834	C0042267
NIFUROXIME	Trichomonas Vaginitis	C0028072	C0040923
TERLIPRESSIN	Esophageal and Gastric Varices	C0145185	C0014849
METHYSERGIDE	Vascular Headaches	C0025842	C0042376
DABIGATRAN	Venous Thrombosis	C2348066	C0042487
